;;;;27;31;3;7;28;10;21;14;2;6;20;9;13
;;;;?xRxR;?xRyR;?(xL)xR;?(xL)yR;?(yL)xR;?xL(xR);?yL(xR);?xL(yR);?(xL)(xR);?(xL)(yR);?(yL)(xR);?xLxL;?xLyL
?xRxR ?;?xRyR;27;31;0,5;0,5;0;0;0;0;0;0;0;0;0;0;0
?xRxR ?;?(xL)yR;27;7;0;0;1;0;0;0;0;0;0;0;0;0;0
?xRxR ?;?(yL)xR;27;28;0;0;0;0;1;0;0;0;0;0;0;0;0
?xRxR ?;?yL(xR);27;21;1;0;0;0;0;0;0;0;0;0;0;0;0
?xRxR ?;?xL(yR);27;14;0;1;0;0;0;0;0;0;0;0;0;0;0
?xRxR ?;?(xL)(yR);27;6;0;0,5;0,5;0;0;0;0;0;0;0;0;0;0
?xRxR ?;?(yL)(xR);27;20;0,5;0;0;0;0,5;0;0;0;0;0;0;0;0
?xRxR ?;?xLyL;27;13;0;0;0,25;0;0,25;0,25;0,25;0;0;0;0;0;0
?(xL)xR ?;?xRyR;3;31;0;0;0,5;0,5;0;0;0;0;0;0;0;0;0
?(xL)xR ?;?(xL)yR;3;7;0;0;0;0;0;0;0;0;0;0;0;1;0
?(xL)xR ?;?(yL)xR;3;28;0;0;0;0;0;0;0;0;0;0;0;0;1
?(xL)xR ?;?yL(xR);3;21;0;0;0;0;0;0;0;0;1;0;0;0;0
?(xL)xR ?;?xL(yR);3;14;0;0;0;0;0;0;0;0;0;1;0;0;0
?(xL)xR ?;?(xL)(yR);3;6;0;0;0;0;0;0;0;0;0;0,5;0;0,5;0
?(xL)xR ?;?(yL)(xR);3;20;0;0;0;0;0;0;0;0;0,5;0;0;0;0,5
?(xL)xR ?;?xLyL;3;13;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5
?xL(xR) ?;?xRyR;10;31;0,5;0,5;0;0;0;0;0;0;0;0;0;0;0
?xL(xR) ?;?(xL)yR;10;7;0;0;0;0;0;0,5;0;0;0,5;0;0;0;0
?xL(xR) ?;?(yL)xR;10;28;0;0;0;0;0,4;0;0,4;0;0;0;0,2;0;0
?xL(xR) ?;?yL(xR);10;21;1;0;0;0;0;0;0;0;0;0;0;0;0
?xL(xR) ?;?xL(yR);10;14;0;1;0;0;0;0;0;0;0;0;0;0;0
?xL(xR) ?;?(xL)(yR);10;6;0;0,5;0;0;0;0;0;0;0,5;0;0;0;0
?xL(xR) ?;?(yL)(xR);10;20;0;0,5;0;0;0;0;0;0;0;0;0,5;0;0
?xL(xR) ?;?xLyL;10;13;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0
?(xL)(xR)?;?xRyR;2;31;0,25;0,25;0,25;0,25;0;0;0;0;0;0;0;0;0
?(xL)(xR)?;?(xL)yR;2;7;0;0;0;0;0;0,25;0;0;0,25;0;0;0;0,5
?(xL)(xR)?;?(yL)xR;2;28;0;0;0;0;0;0;0;0;0;0;0,5;0;0,5
?(xL)(xR)?;?yL(xR);2;21;0;0,5;0;0;0;0;0;0;0,5;0;0;0;0
?(xL)(xR)?;?xL(yR);2;14;0;0,5;0;0;0;0;0;0;0;0,5;0;0;0
?(xL)(xR)?;?(xL)(yR);2;6;0;0,25;0;0;0;0;0;0;0,25;0,25;0;0,25;0
?(xL)(xR)?;?(yL)(xR);2;20;0,5;0;0;0;0;0;0;0;0;0;0;0;0,5
?(xL)(xR)?;?xLyL;2;13;0;0;0;0;0;0,25;0,25;0;0;0;0;0,25;0,25
?xLxL ?;? ?xRyR;9;31;0;0;0,25;0,25;0;0,25;0;0,25;0;0;0;0;0
?xLxL ?;? ?(xL)yR;9;7;0;0;0;0;0;0;0;0;0;0;0;1;0
?xLxL ?;? ?(yL)xR;9;28;0;0;0;0;0;0;0;0;0;0;0;0;1
?xLxL ?;? ?yL(xR);9;21;0;0;0;0;0;1;0;0;0;0;0;0;0
?xLxL ?;? ?xL(yR);9;14;0;0;0;0;0;0;0;1;0;0;0;0;0
?xLxL ?;??(xL)(yR);9;6;0;0;0;0;0,5;0;0;0;0;0;0;0,5;0
?xLxL ?;??(yL)(xR);9;20;0;0;0;0;0;0,5;0;0;0;0;0;0;0,5
?xLxL ?;? ?xLyL;9;13;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5
